"productSlug","productName","productFamily","requiredField","source","status"
"magnetic-grid","Magnetic Grid","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-grid","Magnetic Grid","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-grid","Magnetic Grid","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-grid","Magnetic Grid","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-grid","Magnetic Grid","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-rod","Magnetic Rod","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-rod","Magnetic Rod","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-rod","Magnetic Rod","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-rod","Magnetic Rod","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-rod","Magnetic Rod","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-rod","Magnetic Rod","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-trap","Magnetic Trap","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-trap","Magnetic Trap","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-trap","Magnetic Trap","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-trap","Magnetic Trap","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-trap","Magnetic Trap","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"magnetic-trap","Magnetic Trap","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"permanent-filter-bar-magnetic-neodymium-rod","Strong 6000-16000 Gauss Iron Absorbing Permanent Filter Bar Magnetic Neodymium Rod","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"rcyz-type-pipeline-magnetic-filter","RCYZ type pipeline magnetic filter","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"rotary-pipe-magnet","Rotary Pipe Magnet","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"rotary-pipe-magnet","Rotary Pipe Magnet","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"rotary-pipe-magnet","Rotary Pipe Magnet","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"rotary-pipe-magnet","Rotary Pipe Magnet","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"rotary-pipe-magnet","Rotary Pipe Magnet","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"rotary-pipe-magnet","Rotary Pipe Magnet","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","unclassified-product-family","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","unclassified-product-family","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","unclassified-product-family","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","unclassified-product-family","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","unclassified-product-family","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"belt-high-gradient-magnetic-separator","Belt High Gradient Magnetic Separator","unclassified-product-family","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","unclassified-product-family","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","unclassified-product-family","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","unclassified-product-family","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","unclassified-product-family","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","unclassified-product-family","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"cbz-type-rotary-automatic-magnetic-separator","CBZ type rotary automatic magnetic separator","unclassified-product-family","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"cgb-type-rotary-semi-automatic-magnetic-separator","CGB type rotary semi-automatic magnetic separator","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","wet-drum-or-wet-magnetic-separator","drum diameter and length","data/products/products.json","needs COWIN engineering confirmation"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","wet-drum-or-wet-magnetic-separator","tank type","data/products/products.json","needs COWIN engineering confirmation"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","wet-drum-or-wet-magnetic-separator","slurry and particle-size range","data/products/products.json","needs COWIN engineering confirmation"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","wet-drum-or-wet-magnetic-separator","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","wet-drum-or-wet-magnetic-separator","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","wet-drum-or-wet-magnetic-separator","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","wet-drum-or-wet-magnetic-separator","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"cgt-type-super-strong-full-magnetic-drum","CGT type super strong full magnetic drum","wet-drum-or-wet-magnetic-separator","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","unclassified-product-family","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","unclassified-product-family","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","unclassified-product-family","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","unclassified-product-family","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","unclassified-product-family","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"clt-type-magnetic-desliming-tank","CLT type magnetic desliming tank","unclassified-product-family","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separation","CQZ type fully automatic online magnetic separation","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","magnetic-filter-or-component","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","magnetic-filter-or-component","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","magnetic-filter-or-component","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","magnetic-filter-or-component","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","magnetic-filter-or-component","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"cqz-type-fully-automatic-online-magnetic-separator","CQZ type fully automatic online magnetic separator","magnetic-filter-or-component","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","wet-drum-or-wet-magnetic-separator","drum diameter and length","data/products/products.json","needs COWIN engineering confirmation"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","wet-drum-or-wet-magnetic-separator","tank type","data/products/products.json","needs COWIN engineering confirmation"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","wet-drum-or-wet-magnetic-separator","slurry and particle-size range","data/products/products.json","needs COWIN engineering confirmation"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","wet-drum-or-wet-magnetic-separator","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","wet-drum-or-wet-magnetic-separator","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","wet-drum-or-wet-magnetic-separator","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","wet-drum-or-wet-magnetic-separator","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"ctb-type-semi-countercurrent-wet-selection-machine","CTB type semi countercurrent wet selection machine","wet-drum-or-wet-magnetic-separator","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","drum diameter and length","data/products/products.json","needs COWIN engineering confirmation"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","tank type","data/products/products.json","needs COWIN engineering confirmation"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","slurry and particle-size range","data/products/products.json","needs COWIN engineering confirmation"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"ctb-wet-semi-countercurrent-magnetic-separator","CTB wet semi countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","dry-magnetic-separator","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","dry-magnetic-separator","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","dry-magnetic-separator","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","dry-magnetic-separator","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","dry-magnetic-separator","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","CTDG type permanent magnet bulk dry magnetic separator","dry-magnetic-separator","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","wet-drum-or-wet-magnetic-separator","drum diameter and length","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","wet-drum-or-wet-magnetic-separator","tank type","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","wet-drum-or-wet-magnetic-separator","slurry and particle-size range","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","wet-drum-or-wet-magnetic-separator","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","wet-drum-or-wet-magnetic-separator","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","wet-drum-or-wet-magnetic-separator","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","wet-drum-or-wet-magnetic-separator","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-full-countercurrent-wet-magnetic-separator","CTN type full countercurrent wet magnetic separator","wet-drum-or-wet-magnetic-separator","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","wet-drum-or-wet-magnetic-separator","drum diameter and length","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","wet-drum-or-wet-magnetic-separator","tank type","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","wet-drum-or-wet-magnetic-separator","slurry and particle-size range","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","wet-drum-or-wet-magnetic-separator","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","wet-drum-or-wet-magnetic-separator","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","wet-drum-or-wet-magnetic-separator","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","wet-drum-or-wet-magnetic-separator","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"ctn-type-specialized-magnetic-separator-for-coal-washing","CTN type specialized magnetic separator for coal washing","wet-drum-or-wet-magnetic-separator","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","drum diameter and length","data/products/products.json","needs COWIN engineering confirmation"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","tank type","data/products/products.json","needs COWIN engineering confirmation"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","slurry and particle-size range","data/products/products.json","needs COWIN engineering confirmation"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"ctn-wet-full-countercurrent-magnetic-separator","CTN wet full countercurrent magnetic separator","wet-drum-or-wet-magnetic-separator","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"ctq-type-roller-automatic-magnetic-separator","CTQ type roller automatic magnetic separator","dry-magnetic-separator","correct product family and working principle","data/products/products.json","needs COWIN engineering confirmation"
"ctq-type-roller-automatic-magnetic-separator","CTQ type roller automatic magnetic separator","dry-magnetic-separator","confirmed model/series drawing","data/products/products.json","needs COWIN engineering confirmation"
"ctq-type-roller-automatic-magnetic-separator","CTQ type roller automatic magnetic separator","dry-magnetic-separator","application-specific dimensions","data/products/products.json","needs COWIN engineering confirmation"
"ctq-type-roller-automatic-magnetic-separator","CTQ type roller automatic magnetic separator","dry-magnetic-separator","approved performance values","data/products/products.json","needs COWIN engineering confirmation"
"ctq-type-roller-automatic-magnetic-separator","CTQ type roller automatic magnetic separator","dry-magnetic-separator","verified options and exclusions","data/products/products.json","needs COWIN engineering confirmation"
"ctq-type-roller-automatic-magnetic-separator","CTQ type roller automatic magnetic separator","dry-magnetic-separator","reviewer approval","data/products/products.json","needs COWIN engineering confirmation"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","wet-drum-or-wet-magnetic-separator","drum diameter and length","data/products/products.json","needs COWIN engineering confirmation"
"cts-type-downstream-wet-pre-selection-machine","CTS type downstream wet pre selection machine","wet-drum-or-wet-magnetic-separator","tank type","data/products/products.json","needs COWIN engineering confirmation"
